"article";"productgroup";"category";"cost";"style";"sizes";"gender";"rgb_r_main_col";"rgb_g_main_col";"rgb_b_main_col";"rgb_r_sec_col";"rgb_g_sec_col";"rgb_b_sec_col"
"EF2771";"SHORTS";"FOOTBALL LICENSED";2.9;"wide";"xxs,xs,s,m,l,xl,xxl";"men";115;115;115;238;180;180
"PQ4964";"HARDWARE ACCESSORIES";"SWIM";0.4;"wide";"s,m,l,xl,xxl";"women";250;128;114;238;180;180
"JM7648";"HARDWARE ACCESSORIES";"TRAINING";2.1;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";139;76;57;238;180;180
"XJ1725";"HARDWARE ACCESSORIES";"TRAINING";1.7;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";255;245;238;238;180;180
"YS9175";"SHORTS";"TRAINING";2.19;"regular";"xs,s,m,l,xl";"women";250;128;114;238;180;180
"KT9618";"SHOES";"TENNIS";6.2;"wide";"xxs,xs,s,m,l,xl,xxl";"men";74;112;139;238;180;180
"ZC7213";"HARDWARE ACCESSORIES";"RUNNING";1.7;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";158;158;158;238;180;180
"XI2961";"SHOES";"FOOTBALL GENERIC";13.59;"wide";"xxs,xs,s,m,l,xl,xxl";"women";179;238;58;0;205;205
"TX3691";"SWEATSHIRTS";"TRAINING";4.5;"regular";"xxs,xs,s,m,l,xl,xxl";"women";0;245;255;0;205;205
"NY5159";"PANTS";"TRAINING";3.7;"slim";"xs,s,m,l,xl,xxl";"women";107;107;107;0;205;205
"MW3528";"SHOES";"FOOTBALL GENERIC";15.09;"wide";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;0;205;205
"CF3238";"SHOES";"TRAINING";3.8;"slim";"xxs,xs,s,m,l";"unisex";127;127;127;0;205;205
"BW2758";"T-SHIRTS";"RUNNING";2.8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";180;238;180;0;104;139
"MG2169";"SHOES";"OUTDOOR";8.4;"regular";"xs,s,m,l,xl";"men";191;191;191;0;104;139
"BJ4373";"SHORTS";"TENNIS";2.9;"regular";"s,m,l,xl,xxl";"women";180;238;180;0;104;139
"PZ7731";"SHORTS";"TRAINING";2.4;"slim";"xxs,xs,s,m,l,xl";"women";238;180;180;0;104;139
"YV2782";"SHOES";"OUTDOOR";8.4;"wide";"s,m,l,xl,xxl";"men";205;16;118;0;104;139
"QG3131";"SWEATSHIRTS";"OUTDOOR";6.3;"regular";"xxs,xs,s,m,l,xl,xxl";"women";139;69;0;0;104;139
"LX5583";"SHOES";"TRAINING";5.5;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";209;209;209;0;104;139
"AU7641";"PANTS";"TRAINING";2.9;"wide";"xs,s,m,l";"women";139;10;80;205;16;118
"XI2814";"SHOES";"OUTDOOR";7.3;"wide";"xxs,xs,s,m,l,xl,xxl";"women";143;143;143;205;16;118
"JX7462";"SHOES";"FOOTBALL GENERIC";13.09;"regular";"xxs,xs,s,m,l,xl,xxl";"women";205;129;98;205;16;118
"FJ8179";"SHOES";"RUNNING";8.29;"regular";"s,m,l,xl";"unisex";83;134;139;205;16;118
"RE8165";"SWEATSHIRTS";"FOOTBALL LICENSED";5.2;"slim";"xs,s,m,l";"women";255;245;238;192;255;62
"NW3584";"T-SHIRTS";"RUNNING";3.4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";164;211;238;192;255;62
"OO1497";"SWEATSHIRTS";"TRAINING";4.4;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";220;220;220;192;255;62
"FY5273";"HARDWARE ACCESSORIES";"RUNNING";1.4;"regular";"xxs,xs,s,m,l,xl,xxl";"women";139;76;57;220;220;220
"FE2938";"HARDWARE ACCESSORIES";"TRAINING";1.7;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";139;101;8;220;220;220
"MJ2618";"SHORTS";"TRAINING";2.9;"regular";"xxs,xs,s,m,l,xl,xxl";"women";158;158;158;220;220;220
"HN7272";"SHOES";"TRAINING";8.1;"slim";"xxs,xs,s,m,l,xl,xxl";"women";115;115;115;220;220;220
"SH7883";"HARDWARE ACCESSORIES";"TRAINING";2.8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";0;197;205;220;220;220
"XH3727";"SHOES";"RUNNING";9.4;"regular";"xs,s,m,l,xl,xxl";"women";240;128;128;220;220;220
"QC7465";"PANTS";"FOOTBALL GENERIC";4.2;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";145;145;145;238;233;191
"VF6733";"SHOES";"FOOTBALL GENERIC";6.4;"regular";"xs,s,m,l,xl";"women";180;238;180;238;233;191
"FS5149";"SHOES";"INDOOR";5.9;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";0;205;0;238;233;191
"CY6963";"SHOES";"TRAINING";4.7;"slim";"xxs,xs,s,m,l,xl,xxl";"women";192;255;62;50;205;50
"RF6881";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;173;0;50;205;50
"JQ8333";"SHOES";"FOOTBALL GENERIC";5.7;"slim";"xxs,xs,s,m,l,xl,xxl";"women";139;101;8;50;205;50
"EF6812";"T-SHIRTS";"TRAINING";2.29;"slim";"xxs,xs,s,m,l";"women";205;198;115;50;205;50
"ON4163";"SHOES";"TRAINING";11.4;"regular";"xs,s,m,l,xl";"women";162;181;205;50;205;50
"YK5786";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.7;"wide";"xxs,xs,s,m,l,xl,xxl";"men";154;205;50;50;205;50
"WL2581";"SHOES";"FOOTBALL GENERIC";9.5;"regular";"s,m,l,xl";"women";238;180;180;209;209;209
"BF7554";"PANTS";"TRAINING";3.2;"wide";"s,m,l,xl";"women";209;209;209;209;209;209
"QT7325";"SHOES";"OUTDOOR";8.4;"slim";"xs,s,m,l,xl";"women";238;220;130;209;209;209
"OI4367";"SHOES";"TRAINING";7.1;"regular";"xxs,xs,s,m,l,xl,xxl";"women";84;139;84;139;137;137
"CJ4578";"HARDWARE ACCESSORIES";"TRAINING";2.1;"wide";"s,m,l,xl";"women";143;143;143;139;137;137
"KF7125";"SHOES";"RELAX CASUAL";10.8;"regular";"xxs,xs,s,m,l,xl,xxl";"women";248;248;255;139;137;137
"MP6772";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";238;233;191;139;137;137
"SL9748";"HARDWARE ACCESSORIES";"TRAINING";2.7;"slim";"xxs,xs,s,m,l,xl,xxl";"women";248;248;255;139;137;137
